Voyage No.,Avg Speed (Voyage)
01 B,10.8
02 B,11
03 B,10.9
04 B,10.5
05 B,10.21
06 B,10.51
07 B,11.44
08B,12.25
09B,10.69
10 B,11.05
11B,11.57
12B,9.86
13B,11.09
14B,10.48
