Voyage No.,Avg Speed (in Good weather)
01 B,10.8
02 B,11
03 B,10.9
04 B,10.84
05 B,10.21
06 B,10.51
07 B,11.02
08B,12.25
09B,10.69
10 B,11.05
11B,11.57
12B,11.14
13B,11.29
14B,9.78
