Voyage No.,Avg Speed (in Good weather)
01 L,9.8
02 L,9.9
03 L,9.9
04 L,9.9
05 L,10.3
06 L,10.5
07 L,10.7
08L,11.4
09L,10.1
10L,10.3
11L,9.65
12L,9.92
13L,9.82
14L,8.38
