UTC Date & Time,TOTAL FO Consumption / 24 hrs
2021-08-29,32.95
2021-08-30,32.94
2021-08-31,32.97
2021-09-01,32.95
2021-09-02,32.94
2021-09-03,32.97
2021-09-04,34.56
2021-09-05,34.97
2021-09-06,34.94
2021-09-22,34.09
2021-09-23,34.87
2021-09-24,34.8
2021-09-27,34.9
2021-09-29,34.94
2021-10-13,37
2021-10-15,37.1
2021-10-17,37.71
2021-10-19,37.2
2021-10-20,37.2
2021-10-20,36.99
2021-11-04,36.5
2021-11-05,36.8
2021-11-06,36.5
2021-11-07,36.5
2021-11-08,36.3
2021-11-09,36.5
2021-11-10,36.5
2021-11-10,36.4
2021-11-27,36
2021-11-28,36
2021-11-30,36.1
2021-12-01,36
2021-12-01,35.85
2021-12-03,35.6
2021-12-04,36
2021-12-05,35.9
2021-12-05,31.71
2021-12-23,36.99
2002-12-24,37
2021-12-25,36.9
2021-12-26,36.8
2021-12-27,36.6
2021-12-28,36.6
2021-12-29,36.6
2021-12-29,37.54
2022-01-18,36
2022-01-19,35.6
2022-01-20,35.6
2022-01-21,35.6
2022-01-22,35.52
2022-01-23,35.6
2022-01-24,35.6
2022-01-25,35.7
2022-01-25,35.6
2022-02-10,35.59
2022-02-11,35.7
2022-02-12,35.6
2022-02-13,35.6
2022-02-14,35.6
2022-02-15,35.4
2022-02-16,35.4
2022-02-16,35.7
2022-03-01,33.05
2022-03-02,35
2022-03-05,30.6
2022-03-06,30.4
2022-03-07,30.4
2022-03-08,30.6
2022-03-08,22.8
2022-03-27,30.5
2022-03-28,30.5
2022-03-29,30.5
2022-03-30,30.5
2022-03-31,30.3
2022-04-01,30.5
2022-04-02,30.5
2022-04-02,29.78
2022-04-20,29.94
2022-04-21,29
2022-04-22,30.73
2022-04-23,30.9
2022-04-24,31
2022-04-25,31
2022-04-26,31.2
2022-04-27,31
2022-04-28,31.4
2022-05-17,31.67
2022-05-18,32
2022-05-19,31.9
2022-05-20,31.8
2022-05-21,31.5
2022-05-22,31.3
2022-05-23,30.8
2022-05-24,31.4
2022-05-25,35.49
2022-05-25,35.49
2022-06-05,31.58
2022-06-06,32
2022-06-07,31.96
2022-06-08,32
2022-06-09,32
2022-06-10,31.7
2022-06-11,30.83
2022-06-12,31.2
2022-06-13,31.84
2022-06-30,29.81
2022-07-01,30.5
2022-07-02,30.1
2022-07-03,30.8
2022-07-04,31.9
2022-07-05,32
2022-07-06,32.6
2022-07-07,32.4
2022-07-08,32.35
2022-07-09,32.37
2022-07-25,33.5
2022-07-26,33
2022-07-27,32
2022-07-28,30.6
2022-07-29,25.8
2022-07-30,28.9
2022-07-31,31
2022-08-01,31.8
2022-08-02,32
2022-08-03,30.8
2022-08-04,30.4
2022-08-05,21.4
2022-08-05,27.7
2022-08-07,30
2022-08-08,30
2022-08-09,28.4
2022-08-10,29
2022-08-11,31
2022-08-12,30.8
2022-08-13,31
2022-08-14,31
2022-08-15,30.4
2022-08-16,31.6
2022-08-17,30.1
2022-08-17,19.5
