Voyage No.,Avg Speed (Voyage)
01 L,9.8
02 L,9.3
03 L,9.5
04 L,9.8
05 L,10.1
06 L,10.5
07 L,10.7
08L,11.4
09L,10.3
10L,10.3
11L,9.65
12L,9.72
13L,9.59
14L,8.38
