UTC Date & Time,Slip (%)
2021-08-29,9.52
2021-08-30,24.77
2021-08-31,20.77
2021-09-01,24.77
2021-09-02,22.3
2021-09-03,22.77
2021-09-04,21.78
2021-09-05,28.98
2021-09-06,24.25
2021-09-22,10.91
2021-09-23,8.89
2021-09-24,8.8
2021-09-27,17.55
2021-09-29,11.43
2021-10-13,12.38
2021-10-15,13.21
2021-10-17,23.26
2021-10-19,11.45
2021-10-20,13.06
2021-10-20,11.5
2021-11-04,12.22
2021-11-05,11.43
2021-11-06,11.79
2021-11-07,12
2021-11-08,11.64
2021-11-09,12.59
2021-11-10,10.12
2021-11-10,9.23
2021-11-27,12.17
2021-11-28,12.45
2021-11-30,7.19
2021-12-01,11.27
2021-12-01,12.5
2021-12-03,11.52
2021-12-04,12.5
2021-12-05,10.74
2021-12-05,12.5
2021-12-23,18.21
2002-12-24,20.63
2021-12-25,13.74
2021-12-26,14.65
2021-12-27,26.6
2021-12-28,19.94
2021-12-29,24.76
2021-12-29,18.54
2022-01-18,18.03
2022-01-19,19.37
2022-01-20,14.6
2022-01-21,9.18
2022-01-22,16.16
2022-01-23,19.25
2022-01-24,21.59
2022-01-25,25.08
2022-01-25,25.4
2022-02-10,13.12
2022-02-11,15.19
2022-02-12,5.7
2022-02-13,15.19
2022-02-14,14.2
2022-02-15,17.09
2022-02-16,20.63
2022-02-16,4.76
2022-03-01,20
2022-03-02,21.27
2022-03-05,16.61
2022-03-06,17.75
2022-03-07,14.33
2022-03-08,19.73
2022-03-08,25
2022-03-27,18.27
2022-03-28,21.93
2022-03-29,12.29
2022-03-30,23.26
2022-03-31,25.17
2022-04-01,18.94
2022-04-02,22
2022-04-02,-3.7
2022-04-20,28.68
2022-04-21,22.48
2022-04-22,20.67
2022-04-23,22.59
2022-04-24,22.07
2022-04-25,20.6
2022-04-26,22.7
2022-04-27,21.93
2022-04-28,23.59
2022-05-17,18.52
2022-05-18,20.82
2022-05-19,29.23
2022-05-20,18.84
2022-05-21,21.23
2022-05-22,20.41
2022-05-23,16.67
2022-05-24,18.77
2022-05-25,20.7
2022-05-25,20.7
2022-06-05,26.09
2022-06-06,28.18
2022-06-07,18.9
2022-06-08,18.84
2022-06-09,27.49
2022-06-10,17.97
2022-06-11,17.12
2022-06-12,16.78
2022-06-13,18.8
2022-06-30,25.42
2022-07-01,22.65
2022-07-02,11.66
2022-07-03,27.21
2022-07-04,42.12
2022-07-05,39.38
2022-07-06,36.43
2022-07-07,38.36
2022-07-08,33.56
2022-07-09,27.43
